                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4084,                  9.325,                 3.4155,                0.24514,                0.25074,                0.16159,                0.06045,                 3.9888,                 7.7897,                  3.069,                0.00024,                0.00024,                0.00024
                      2,                 3.9224,                  5.904,                 3.0147,                0.19278,                0.33333,                0.16331,                 0.0682,                 3.8709,                 8.6091,                 3.1144,             0.00049752,             0.00049752,             0.00049752
                      3,                  3.963,                 5.1826,                 3.0338,                0.11284,                0.14454,                0.05187,                0.02096,                 4.1953,                  8.646,                 3.5245,             0.00075248,             0.00075248,             0.00075248
                      4,                 4.0538,                   4.77,                 3.1237,                0.05636,                  0.059,                0.02766,                0.01238,                 4.6221,                 19.841,                 4.4536,              0.0010049,              0.0010049,              0.0010049
                      5,                 4.1826,                 4.5172,                 3.1621,                0.07069,                0.15044,                0.05007,                0.01689,                 4.4661,                   26.1,                 3.9856,              0.0012547,              0.0012547,              0.0012547
                      6,                 4.2341,                 4.4205,                 3.2394,                0.02904,                0.25369,                0.02101,                0.00799,                 5.2872,                 443.67,                 5.7092,              0.0015019,              0.0015019,              0.0015019
                      7,                 4.2798,                 4.4278,                 3.2232,                0.11353,                0.22714,                0.09348,                0.03929,                 5.0982,                 70.862,                 4.6057,              0.0017465,              0.0017465,              0.0017465
                      8,                 4.2989,                 4.5755,                 3.2357,                0.20895,                0.18879,                0.11685,                0.04465,                 4.7888,                 13.711,                 4.4821,              0.0019307,              0.0019307,              0.0019307
                      9,                 4.2356,                 4.7327,                 3.2597,                0.25772,                0.25912,                 0.1808,                0.06053,                 4.4007,                 21.819,                 3.9152,              0.0019208,              0.0019208,              0.0019208
                     10,                 4.1798,                 4.5453,                 3.2666,                0.26578,                0.26269,                0.15616,                0.05842,                  4.224,                 31.594,                 3.8203,              0.0019109,              0.0019109,              0.0019109
                     11,                 4.0271,                 4.1612,                 3.0484,                0.27553,                0.25369,                0.17141,                0.06719,                 4.2782,                 25.578,                 3.6333,               0.001901,               0.001901,               0.001901
                     12,                 4.0672,                 4.2829,                 3.1167,                0.27289,                0.33038,                0.21535,                0.07849,                 4.1872,                 20.129,                 3.6689,              0.0018911,              0.0018911,              0.0018911
